"","group","id","baselang","block","itemnum","currtrial","trialtype","condition","locationcrit","cstype","csdetail","lentwobefore","lenonebefore","lencrit","lenoneafter","lentwoafter","lenthreeafter","Sentence..or.sentence.MD5.","Reading.time_-2","Reading.time_-1","Reading.time_0","Reading.time_1","Reading.time_2","Reading.time_3","Parameter_-2","Parameter_-1","Parameter_0","Parameter_1","Parameter_2","Parameter_3","Value_-2","Value_-1","Value_0","Value_1","Value_2","Value_3","Flankercongruency","FlankerRT","Flanktimeout","FlankerAcc","Flankercorrect_response","QuestionRT","QuestionAcc","Questioncorrect_response"
"11","1","39486","English",1,74,"CS","Sentence","CI_Flanker_Sent",11,"det-noun","masc",2,2,5,2,5,0,"Asombrosamente%2C el detective encontró el violín que perdió en el south of Italy.",367,348,529,425,330,NA,"9","10","11","12","13",NA,"en","el","south","of","Italy.",NA,"Cong",555,"NO",1,"J",1063,1,"J"
"12","1","39486","English",1,80,"CS","Sentence","II_Flanker_Sent",7,"progressive","aux",3,11,3,9,3,3,"El director dijo que los productores are preparing the set for the movie.",379,658,342,392,310,340,"5","6","7","8","9","10","los","productores","are","preparing","the","set","Incong",675,"NO",1,"F",1317,1,"J"
"13","1","39486","English",1,86,"CS","Sentence","II_Flanker_Sent",7,"perfect","aux",3,12,4,6,3,8,"La superintendente garantiza que los instructores have tested the students appropriately.",395,482,723,384,408,406,"5","6","7","8","9","10","los","instructores","have","tested","the","students","Incong",613,"NO",1,"J",2043,1,"J"
"14","1","39486","English",1,91,"Mono","Sentence","CC_Flanker_Sent",5,"det-noun","masc",5,3,4,2,3,9,"The athlete hated the heat of the afternoon.",482,403,421,388,328,365,"3","4","5","6","7","8","hated","the","heat","of","the","afternoon.","Cong",464,"NO",1,"F",1364,1,"J"
"15","1","39486","English",1,94,"CS","Sentence","II_Flanker_Sent",8,"progressive","part",11,5,6,3,8,2,"El supervisor mencionó que los carpinteros están fixing the cabinets in the kitchen.",378,503,383,305,238,268,"6","7","8","9","10","11","carpinteros","están","fixing","the","cabinets","in","Incong",633,"NO",1,"F",1099,1,"J"
"16","1","39486","English",1,99,"Mono","Sentence","CC_Flanker_Sent",6,"det-noun","fem",8,3,5,4,3,7,"The young boy explored the house with his friends.",413,312,218,367,215,256,"4","5","6","7","8","9","explored","the","house","with","his","friends.","Cong",379,"NO",1,"J",1285,1,"F"
"17","1","39486","English",1,104,"Mono","Sentence","CC_Flanker_Sent",6,"det-noun","fem",10,3,9,2,3,5,"The old woman remembered the happiness of her youth.",1099,481,446,422,444,517,"4","5","6","7","8","9","remembered","the","happiness","of","her","youth.","Cong",411,"NO",1,"F",2546,1,"J"
"18","1","39486","English",1,107,"CS","Sentence","II_Flanker_Sent",11,"det-noun","masc",2,3,9,2,3,4,"La planta suministra electricidad y contrata a muchos de los residents in the city.",397,377,424,692,345,355,"9","10","11","12","13","14","de","los","residents","in","the","city.","Incong",683,"NO",1,"J",2284,1,"J"
"19","1","39486","English",1,113,"Mono","Sentence","IC_Flanker_Sent",7,"progressive","aux",3,8,3,8,3,4,"The chef thinks that the tourists are enjoying the food at his gourmet restaurant.",322,354,364,349,299,332,"5","6","7","8","9","10","the","tourists","are","enjoying","the","food","Incong",662,"NO",1,"J",1082,1,"F"
"20","1","39486","English",1,118,"CS","Sentence","II_Flanker_Sent",7,"progressive","aux",3,12,3,10,3,8,"Los científicos saben que los experimentos are increasing the expenses.",398,637,823,400,333,319,"5","6","7","8","9","10","los","experimentos","are","increasing","the","expenses.","Incong",628,"NO",1,"F",971,1,"J"
"21","1","39486","English",1,123,"Mono","Sentence","CC_Flanker_Sent",7,"perfect","aux",3,7,4,8,3,7,"The professor announced that the editors have approved her article for the journal.",338,305,299,334,329,399,"5","6","7","8","9","10","the","editors","have","approved","her","article","Cong",404,"NO",1,"F",1574,1,"J"
"22","1","39486","English",1,129,"CS","Sentence","CI_Flanker_Sent",7,"progressive","aux",3,10,3,7,3,9,"El abogado descubrió que los criminales are bribing the policeman to destroy the evidence.",253,402,650,302,538,345,"5","6","7","8","9","10","los","criminales","are","bribing","the","policeman","Cong",572,"NO",1,"F",954,1,"J"
"23","1","39486","English",1,135,"CS","Sentence","CI_Flanker_Sent",7,"perfect","aux",3,8,4,8,3,7,"El sargento garantizó que los soldados have prepared the weapons for the mission.",412,352,332,412,264,268,"5","6","7","8","9","10","los","soldados","have","prepared","the","weapons","Cong",697,"NO",1,"J",4913,1,"F"
"24","1","39486","English",1,140,"CS","Sentence","CI_Flanker_Sent",8,"progressive","part",7,5,8,5,8,4,"El entrenador notó que los atletas están grabbing their uniforms from the pile.",318,541,404,427,317,282,"6","7","8","9","10","11","atletas","están","grabbing","their","uniforms","from","Cong",459,"NO",1,"F",1006,1,"J"
"25","1","39486","English",1,146,"CS","Sentence","II_Flanker_Sent",5,"det-noun","masc",8,2,4,2,3,7,"La criada encontró el soap in the cabinet.",310,357,270,313,291,242,"3","4","5","6","7","8","encontró","el","soap","in","the","cabinet.","Incong",956,"NO",1,"F",901,1,"F"
"26","1","39486","English",1,151,"Mono","Sentence","CC_Flanker_Sent",10,"det-noun","masc",2,3,3,2,3,4,"All of the models surrounded the designer at the end of the show.",279,212,269,188,227,229,"8","9","10","11","12","13","at","the","end","of","the","show.","Cong",497,"NO",1,"J",2136,1,"F"
"27","1","39486","English",1,157,"Mono","Sentence","CC_Flanker_Sent",5,"det-noun","fem",5,3,6,2,3,4,"The technician fixed the screen in the very old classroom.",279,287,316,317,317,431,"3","4","5","6","7","8","fixed","the","screen","in","the","very","Cong",528,"NO",1,"J",1826,1,"F"
"28","1","39486","English",1,162,"CS","Sentence","CI_Flanker_Sent",7,"perfect","aux",3,10,4,8,5,8,"El abogado garantizó que los criminales have improved their behavior in jail.",434,327,314,379,253,250,"5","6","7","8","9","10","los","criminales","have","improved","their","behavior","Cong",391,"NO",1,"F",913,1,"F"
"29","1","39486","English",1,165,"Mono","Sentence","IC_Flanker_Sent",8,"progressive","part",9,3,7,3,4,2,"The guard said that the prisoners are cooking the food in the kitchen.",441,254,262,284,291,396,"6","7","8","9","10","11","prisoners","are","cooking","the","food","in","Incong",398,"NO",0,"F",2232,1,"F"
"30","1","39486","English",1,170,"Mono","Sentence","IC_Flanker_Sent",7,"perfect","aux",3,8,4,9,3,8,"The composer says that the pianists have practiced the symphony for the concert.",326,334,337,390,312,350,"5","6","7","8","9","10","the","pianists","have","practiced","the","symphony","Incong",585,"NO",1,"F",1665,1,"J"
"31","1","39486","English",1,175,"CS","Sentence","II_Flanker_Sent",5,"det-noun","fem",4,2,4,2,3,3,"El profesor tomó la beer in the bar last night.",1117,1463,330,342,261,220,"3","4","5","6","7","8","tomó","la","beer","in","the","bar","Incong",458,"NO",1,"F",936,1,"F"
"32","1","39486","English",1,180,"CS","Sentence","CI_Flanker_Sent",5,"det-noun","masc",3,2,6,2,3,7,"La dueña oyó el scream of the furious client.",355,379,613,595,322,367,"3","4","5","6","7","8","oyó","el","scream","of","the","furious","Cong",465,"NO",1,"J",1525,1,"F"
"33","1","39486","English",1,185,"CS","Sentence","CI_Flanker_Sent",5,"det-noun","fem",5,2,3,4,3,5,"La electricista tiene la box with her tools.",943,666,836,425,330,418,"3","4","5","6","7","8","tiene","la","box","with","her","tools.","Cong",402,"NO",1,"F",3207,0,"F"
"34","1","39486","English",1,190,"CS","Sentence","II_Flanker_Sent",5,"det-noun","masc",5,2,5,7,3,5,"El caballero cruzó el river despite the rapid currents.",449,305,273,414,331,261,"3","4","5","6","7","8","cruzó","el","river","despite","the","rapid","Incong",542,"NO",1,"F",950,1,"F"
"35","1","39486","English",1,198,"CS","Sentence","II_Flanker_Sent",5,"det-noun","fem",8,2,6,2,3,13,"La bióloga encontró la source of the contamination.",1651,335,504,272,221,238,"3","4","5","6","7","8","encontró","la","source","of","the","contamination.","Incong",535,"NO",1,"F",1279,1,"J"
"36","1","39486","English",1,204,"CS","Sentence","CI_Flanker_Sent",5,"det-noun","fem",4,2,4,4,3,5,"El astrónomo miró la moon with his large telescope.",1013,392,597,388,337,307,"3","4","5","6","7","8","miró","la","moon","with","his","large","Cong",582,"NO",1,"J",1397,1,"F"
"37","1","39486","English",1,210,"Mono","Sentence","IC_Flanker_Sent",7,"progressive","aux",3,8,3,8,5,5,"The teacher supposes that the students are checking their email in the library.",262,285,382,1072,325,284,"5","6","7","8","9","10","the","students","are","checking","their","email","Incong",603,"NO",1,"F",1963,1,"F"
"38","1","39486","English",1,213,"Mono","Sentence","CC_Flanker_Sent",8,"progressive","part",8,3,10,3,5,3,"The reporter confirmed that the senators are requesting the funds for the project.",598,358,294,398,361,314,"6","7","8","9","10","11","senators","are","requesting","the","funds","for","Cong",562,"NO",1,"F",1057,1,"J"
"39","1","39486","English",1,218,"Mono","Sentence","CC_Flanker_Sent",7,"progressive","aux",3,10,3,8,5,4,"The secretary said that the assistants are accusing their boss of fraud.",398,488,397,363,326,337,"5","6","7","8","9","10","the","assistants","are","accusing","their","boss","Cong",377,"NO",1,"F",1086,1,"F"
"40","1","39486","English",1,226,"Mono","Sentence","CC_Flanker_Sent",8,"perfect","part",9,4,8,3,5,2,"The journalist announced that the musicians have produced the album in the studio.",794,290,286,261,242,269,"6","7","8","9","10","11","musicians","have","produced","the","album","in","Cong",384,"NO",1,"J",1365,1,"F"
"41","1","39486","English",1,232,"CS","Sentence","CI_Flanker_Sent",8,"perfect","part",7,3,10,5,3,2,"El entrenador piensa que los atletas han celebrated their win at the bar.",552,379,408,444,481,429,"6","7","8","9","10","11","atletas","han","celebrated","their","win","at","Cong",560,"NO",1,"F",1116,1,"J"
"42","1","39486","English",1,237,"Mono","Sentence","IC_Flanker_Sent",5,"det-noun","masc",8,3,4,3,3,4,"The sailor explored the lake and its deep caves.",311,330,291,329,345,269,"3","4","5","6","7","8","explored","the","lake","and","its","deep","Incong",816,"NO",1,"J",1303,1,"J"
"43","1","39486","English",1,243,"CS","Sentence","II_Flanker_Sent",8,"perfect","part",7,3,6,1,8,4,"El reportero dijo que las modelos han signed a contract with the agency.",436,550,319,389,282,274,"6","7","8","9","10","11","modelos","han","signed","a","contract","with","Incong",612,"NO",1,"J",1099,1,"J"
"44","1","39486","English",1,249,"CS","Sentence","CI_Flanker_Sent",5,"det-noun","fem",9,2,6,2,3,7,"Los voluntarios limpiaron la street in the morning.",297,351,231,213,230,216,"3","4","5","6","7","8","limpiaron","la","street","in","the","morning.","Cong",562,"NO",1,"J",1037,1,"F"
"45","1","39486","English",1,252,"Mono","Sentence","IC_Flanker_Sent",8,"perfect","part",9,4,7,3,5,2,"The investigator thinks that the gangsters have shipped the drugs to New York City.",366,311,412,291,313,318,"6","7","8","9","10","11","gangsters","have","shipped","the","drugs","to","Incong",570,"NO",1,"J",1105,1,"F"
"46","1","39486","English",1,258,"Mono","Sentence","IC_Flanker_Sent",5,"det-noun","masc",9,3,4,2,3,6,"The miner extracted the iron in the center of the mountain.",328,377,296,307,256,244,"3","4","5","6","7","8","extracted","the","iron","in","the","center","Incong",497,"NO",1,"J",3490,1,"F"
"47","1","39486","English",1,263,"CS","Sentence","CI_Flanker_Sent",7,"progressive","aux",3,8,3,10,1,10,"La enfermera afirmó que los doctores are consulting a specialist about the results.",460,377,476,800,396,524,"5","6","7","8","9","10","los","doctores","are","consulting","a","specialist","Cong",438,"NO",1,"J",2462,1,"F"
"48","1","39486","English",1,268,"Mono","Sentence","CC_Flanker_Sent",7,"progressive","aux",3,7,3,9,3,6,"The accountant thinks that the bankers are preparing the report for the supervisors.",318,364,332,517,416,406,"5","6","7","8","9","10","the","bankers","are","preparing","the","report","Cong",384,"NO",1,"J",2856,1,"J"
"49","1","39486","English",2,273,"CS","Sentence","CI_Flanker_Sent",8,"progressive","part",8,5,11,3,6,3,"El arquitecto supone que los pintores están considering the colors for the house.",246,400,247,367,267,266,"6","7","8","9","10","11","pintores","están","considering","the","colors","for","Cong",426,"NO",1,"F",1736,1,"F"
"50","1","39486","English",2,278,"Mono","Sentence","CC_Flanker_Sent",10,"det-noun","masc",2,3,10,6,6,0,"The children were laughing as they ran to the playground during recess.",303,284,272,278,250,NA,"8","9","10","11","12",NA,"to","the","playground","during","recess.",NA,"Cong",385,"NO",1,"F",1448,1,"F"
"51","1","39486","English",2,283,"CS","Sentence","II_Flanker_Sent",5,"det-noun","fem",4,2,8,2,3,8,"El niño dejó la magazine in his backpack yesterday.",554,477,391,391,291,286,"3","4","5","6","7","8","dejó","la","magazine","in","his","backpack","Incong",698,"NO",1,"F",1446,1,"J"
"52","1","39486","English",2,288,"Mono","Sentence","IC_Flanker_Sent",8,"progressive","part",8,3,10,5,7,2,"The adviser said that his students are presenting their results at the conference.",277,345,507,471,490,654,"6","7","8","9","10","11","students","are","presenting","their","results","at","Incong",522,"NO",1,"J",2198,1,"F"
"53","1","39486","English",2,293,"CS","Sentence","II_Flanker_Sent",5,"det-noun","fem",3,2,5,2,3,8,"El príncipe vio la tower of the enormous castle.",415,413,537,320,272,344,"3","4","5","6","7","8","vio","la","tower","of","the","enormous","Incong",452,"NO",1,"J",1115,1,"F"
"54","1","39486","English",2,299,"Mono","Sentence","IC_Flanker_Sent",5,"det-noun","fem",4,3,3,2,3,6,"The secretary lost the key to the office again.",430,340,434,389,347,328,"3","4","5","6","7","8","lost","the","key","to","the","office","Incong",528,"NO",1,"F",1093,1,"F"
"55","1","39486","English",2,305,"Mono","Sentence","IC_Flanker_Sent",5,"det-noun","fem",3,3,6,4,1,3,"The boy cut the branch with a big axe.",271,327,278,300,265,258,"3","4","5","6","7","8","cut","the","branch","with","a","big","Incong",591,"NO",1,"J",1122,1,"F"
"56","1","39486","English",2,311,"CS","Sentence","II_Flanker_Sent",5,"det-noun","masc",7,2,4,2,3,7,"El mago cumplió el wish of the curious little girl.",365,451,294,324,266,277,"3","4","5","6","7","8","cumplió","el","wish","of","the","curious","Incong",715,"NO",1,"F",1097,1,"F"
"57","1","39486","English",2,317,"CS","Sentence","II_Flanker_Sent",5,"det-noun","masc",8,2,4,2,5,2,"Mi papá encendió el fire in front of the tent.",434,379,322,273,250,236,"3","4","5","6","7","8","encendió","el","fire","in","front","of","Incong",521,"NO",1,"F",2564,1,"F"
"58","1","39486","English",2,322,"CS","Sentence","II_Flanker_Sent",8,"perfect","part",13,3,5,3,10,2,"Los inquilinos notaron que los electricistas han fixed the powerlines in the building.",799,511,256,423,289,300,"6","7","8","9","10","11","electricistas","han","fixed","the","powerlines","in","Incong",515,"NO",1,"J",1168,1,"J"
"59","1","39486","English",2,328,"Mono","Sentence","CC_Flanker_Sent",5,"det-noun","fem",8,3,4,6,3,5,"The trainer reviewed the rule before the match.",645,371,1351,407,403,247,"3","4","5","6","7","8","reviewed","the","rule","before","the","match.","Cong",717,"NO",1,"F",1995,1,"J"
"60","1","39486","English",2,333,"CS","Sentence","CI_Flanker_Sent",5,"det-noun","fem",4,2,5,2,3,5,"La mujer tiró la stone in the ocean.",325,308,249,277,410,253,"3","4","5","6","7","8","tiró","la","stone","in","the","ocean.","Cong",600,"NO",1,"F",1530,1,"J"
"61","1","39486","English",2,338,"Mono","Sentence","CC_Flanker_Sent",5,"det-noun","fem",7,3,4,7,3,6,"The couple watched the snow through the window.",438,413,797,558,390,362,"3","4","5","6","7","8","watched","the","snow","through","the","window.","Cong",456,"NO",1,"J",797,1,"F"
"62","1","39486","English",2,343,"Mono","Sentence","IC_Flanker_Sent",5,"det-noun","masc",4,3,6,6,3,4,"The translator lost the pencil before the exam.",359,331,382,402,324,299,"3","4","5","6","7","8","lost","the","pencil","before","the","exam.","Incong",545,"NO",1,"F",979,1,"J"
"63","1","39486","English",2,348,"Mono","Sentence","IC_Flanker_Sent",7,"perfect","aux",3,8,4,7,5,4,"The manager noticed that the tourists have enjoyed their stay in the hotel.",304,295,462,394,358,314,"5","6","7","8","9","10","the","tourists","have","enjoyed","their","stay","Incong",566,"NO",1,"F",1012,1,"F"
"64","1","39486","English",2,351,"Mono","Sentence","CC_Flanker_Sent",7,"progressive","aux",3,11,3,9,3,5,"The boss announced that the secretaries are notifying the media about the strike.",273,304,448,358,420,360,"5","6","7","8","9","10","the","secretaries","are","notifying","the","media","Cong",542,"NO",1,"F",740,1,"J"
"65","1","39486","English",2,357,"CS","Sentence","CI_Flanker_Sent",7,"perfect","aux",3,7,4,9,4,5,"El entrenador mencionó que los atletas have practiced five hours a day.",339,1155,314,479,311,286,"5","6","7","8","9","10","los","atletas","have","practiced","five","hours","Cong",469,"NO",1,"J",1707,1,"J"
"66","1","39486","English",2,362,"CS","Sentence","CI_Flanker_Sent",7,"progressive","aux",3,7,3,8,3,7,"El entrenador dijo que los atletas are ignoring the remarks from the opposing team.",324,728,351,344,277,294,"5","6","7","8","9","10","los","atletas","are","ignoring","the","remarks","Cong",364,"NO",1,"F",1036,1,"F"
"67","1","39486","English",2,365,"Mono","Sentence","CC_Flanker_Sent",7,"perfect","aux",3,8,4,7,5,5,"The announcer said that the trainers have reached their goals with the players.",264,289,282,333,312,318,"5","6","7","8","9","10","the","trainers","have","reached","their","goals","Cong",443,"NO",1,"F",1629,1,"F"
"68","1","39486","English",2,371,"Mono","Sentence","CC_Flanker_Sent",5,"det-noun","masc",5,3,6,2,3,6,"The workers built the bridge in two months.",410,331,386,305,268,302,"3","4","5","6","7","8","built","the","bridge","in","two","months.","Cong",494,"NO",1,"J",1896,1,"F"
"69","1","39486","English",2,376,"Mono","Sentence","IC_Flanker_Sent",5,"det-noun","fem",5,3,3,4,3,9,"The politician ended the war with his emotional speech.",308,402,316,340,352,349,"3","4","5","6","7","8","ended","the","war","with","his","emotional","Incong",458,"NO",1,"F",3280,1,"J"
"70","1","39486","English",2,382,"Mono","Sentence","CC_Flanker_Sent",8,"perfect","part",6,4,8,3,7,4,"The magazine indicated that the actors have answered the letters from their fans.",193,227,205,224,310,234,"6","7","8","9","10","11","actors","have","answered","the","letters","from","Cong",442,"NO",1,"F",2015,1,"F"
"71","1","39486","English",2,388,"CS","Sentence","II_Flanker_Sent",7,"progressive","aux",3,9,3,11,3,5,"El presidente anunció que los senadores are negotiating the terms of the agreement.",232,213,426,509,273,195,"5","6","7","8","9","10","los","senadores","are","negotiating","the","terms","Incong",483,"NO",1,"F",1146,1,"F"
"72","1","39486","English",2,393,"CS","Sentence","II_Flanker_Sent",5,"det-noun","fem",7,2,4,2,3,4,"Mi hija arregló la wall in her room.",258,578,439,285,285,253,"3","4","5","6","7","8","arregló","la","wall","in","her","room.","Incong",488,"NO",1,"J",1192,1,"J"
"73","1","39486","English",2,398,"Mono","Sentence","CC_Flanker_Sent",8,"progressive","part",11,3,9,3,12,2,"The principal affirmed that the technicians are repairing the photocopiers in the school library.",806,351,319,356,442,341,"6","7","8","9","10","11","technicians","are","repairing","the","photocopiers","in","Cong",349,"NO",1,"J",1576,1,"F"
"74","1","39486","English",2,403,"CS","Sentence","II_Flanker_Sent",8,"progressive","part",11,5,9,3,11,3,"El editor notó que los voluntarios están arranging the photographs for the Entertainment section.",376,437,342,315,388,288,"6","7","8","9","10","11","voluntarios","están","arranging","the","photographs","for","Incong",581,"NO",1,"J",1246,1,"J"
"75","1","39486","English",2,409,"CS","Sentence","II_Flanker_Sent",8,"progressive","part",10,5,8,3,7,0,"El astrónomo confirma que los asteroides están changing the weather.",439,721,530,286,303,NA,"6","7","8","9","10",NA,"asteroides","están","changing","the","weather.",NA,"Incong",493,"NO",1,"J",1007,1,"J"
"76","1","39486","English",2,417,"Mono","Sentence","CC_Flanker_Sent",8,"perfect","part",11,4,8,3,4,3,"The principal said that the instructors have prepared the exam for the students.",957,390,366,388,354,306,"6","7","8","9","10","11","instructors","have","prepared","the","exam","for","Cong",529,"NO",1,"F",1642,0,"F"
"77","1","39486","English",2,422,"Mono","Sentence","IC_Flanker_Sent",7,"progressive","aux",3,8,3,8,3,11,"The general mentioned that the veterans are enjoying the celebration in their honor.",380,575,389,369,353,382,"5","6","7","8","9","10","the","veterans","are","enjoying","the","celebration","Incong",496,"NO",0,"J",3155,0,"F"
"78","1","39486","English",2,431,"Mono","Sentence","IC_Flanker_Sent",5,"det-noun","masc",3,3,11,4,5,10,"The team won the competition with great difficulty.",319,317,287,262,288,267,"3","4","5","6","7","8","won","the","competition","with","great","difficulty.","Incong",494,"NO",1,"J",1965,1,"J"
"79","1","39486","English",2,434,"Mono","Sentence","CC_Flanker_Sent",8,"progressive","part",10,3,7,5,7,2,"The students noticed that the professors are placing their quizzes on the bookshelf.",409,315,479,354,387,383,"6","7","8","9","10","11","professors","are","placing","their","quizzes","on","Cong",729,"NO",1,"F",4754,1,"J"
"80","1","39486","English",2,440,"CS","Sentence","II_Flanker_Sent",7,"perfect","aux",3,11,4,9,5,8,"El psiquiatra afirmó que los prisioneros have justified their behavior in the session.",320,560,294,306,260,289,"5","6","7","8","9","10","los","prisioneros","have","justified","their","behavior","Incong",505,"NO",1,"J",1479,1,"J"
"81","1","39486","English",2,445,"CS","Sentence","CI_Flanker_Sent",5,"det-noun","masc",5,2,12,4,3,4,"La familia buscó el neighborhood with the best neighbors.",450,326,501,285,330,295,"3","4","5","6","7","8","buscó","el","neighborhood","with","the","best","Cong",414,"NO",1,"F",1096,1,"J"
"82","1","39486","English",2,451,"Mono","Sentence","CC_Flanker_Sent",5,"det-noun","fem",4,3,4,2,3,7,"The magician read the mind of the skeptic.",357,320,315,305,237,269,"3","4","5","6","7","8","read","the","mind","of","the","skeptic.","Cong",544,"NO",1,"F",1525,1,"J"
"83","1","39486","English",2,459,"Mono","Sentence","IC_Flanker_Sent",8,"perfect","part",7,4,10,3,4,3,"The accountant believes that the bankers have negotiated the loan for the clients.",190,230,264,184,452,333,"6","7","8","9","10","11","bankers","have","negotiated","the","loan","for","Incong",481,"NO",1,"J",2035,1,"F"
"84","1","39486","English",2,462,"Mono","Sentence","CC_Flanker_Sent",5,"det-noun","masc",5,3,5,2,4,3,"The student wrote the essay in just one hour.",298,306,355,318,330,247,"3","4","5","6","7","8","wrote","the","essay","in","just","one","Cong",435,"NO",1,"J",2210,1,"F"
"85","1","39486","English",2,467,"CS","Sentence","CI_Flanker_Sent",8,"progressive","part",11,5,10,5,11,3,"La estilista confirmó que los diseñadores están organizing their collections for the fashion show.",622,389,479,360,405,368,"6","7","8","9","10","11","diseñadores","están","organizing","their","collections","for","Cong",397,"NO",1,"F",2136,1,"F"
"86","1","39486","English",2,472,"Mono","Sentence","IC_Flanker_Sent",11,"det-noun","masc",5,3,7,10,0,0,"The cafeteria began to cook more healthy dishes after the parents complained.",255,262,237,213,NA,NA,"9","10","11","12",NA,NA,"after","the","parents","complained.",NA,NA,"Incong",632,"NO",1,"J",1414,1,"J"
"87","1","39486","English",2,479,"CS","Sentence","CI_Flanker_Sent",10,"det-noun","masc",1,3,6,2,5,7,"Una avalancha en la montaña casi atrapa a los hikers in their shelter.",288,226,209,277,237,201,"8","9","10","11","12","13","a","los","hikers","in","their","shelter.","Cong",404,"NO",1,"J",3764,1,"J"
"88","1","39486","English",2,482,"Mono","Sentence","IC_Flanker_Sent",8,"perfect","part",9,4,7,3,5,2,"The family noticed that the gardeners have planted the trees in the backyard.",302,390,297,304,297,283,"6","7","8","9","10","11","gardeners","have","planted","the","trees","in","Incong",554,"NO",1,"F",1079,1,"F"
"89","1","39486","English",2,487,"CS","Sentence","II_Flanker_Sent",5,"det-noun","masc",7,2,6,4,3,7,"El granjero recogió el cotton with the complex machine.",522,361,268,324,335,359,"3","4","5","6","7","8","recogió","el","cotton","with","the","complex","Incong",443,"NO",1,"F",1109,1,"F"
"90","1","39486","English",2,492,"Mono","Sentence","IC_Flanker_Sent",8,"progressive","part",10,3,7,3,7,2,"The reporter affirmed that the scientists are testing the vaccine on rats.",271,269,399,261,278,209,"6","7","8","9","10","11","scientists","are","testing","the","vaccine","on","Incong",515,"NO",1,"F",1110,1,"J"
"91","1","39486","English",2,498,"CS","Sentence","CI_Flanker_Sent",8,"perfect","part",11,3,6,5,7,3,"El carcelero dijo que los prisioneros han washed their clothes for the week.",230,273,268,279,547,316,"6","7","8","9","10","11","prisioneros","han","washed","their","clothes","for","Cong",544,"NO",0,"F",1058,1,"J"
